,Unnamed: 0,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon,y,x
1729,1729,2022-05-18 12:22, (Los Angeles),"NICE PROPERTY CLOSE TO SCHOOLS, FREEWAYS, PARKS, SHOPPING CENTER",2.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-nice-property-close-to/7485343409.html,"2,200","['34.076992', '-118.266659']",34.076992,-118.266659
1731,1731,2022-05-18 12:21, (Miracle Mile),2+2 in Miracle Mile/Mid Wilshire Area ^ Off Leash Dog Park ^ Sundeck,2.0,950.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-22-in-miracle-mile-mid/7485343253.html,"3,438","['34.064810', '-118.353210']",34.064810,-118.353210
1732,1732,2022-05-18 12:20, (Alhambra),Is this too good to be true? The perfect location in Alhambra,1.0,650.0,https://losangeles.craigslist.org/lac/apa/d/alhambra-is-this-too-good-to-be-true/7485342699.html,"2,200","['34.088288', '-118.135822']",34.088288,-118.135822
1733,1733,2022-05-18 12:20, (Franklin Village),Plus One Month Free! Wonderful Closet Space! Newly Renovated!,,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-plus-one-month-free/7485342523.html,"2,060","['34.103189', '-118.316220']",34.103189,-118.316220
1735,1735,2022-05-18 12:20, (Los Angeles),Great community! Visit today!,2.0,,https://losangeles.craigslist.org/lac/apa/d/beverly-hills-great-community-visit/7482302960.html,"2,850","['34.059310', '-118.378866']",34.059310,-118.378866
1736,1736,2022-05-18 12:18," (550 N. Figueroa st., Los Angeles, CA)","Powerball Carpeting, 24-Hour Doorman, Sand Volleyball Court",2.0,946.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-powerball-carpeting-24-hour/7485341563.html,"2,968","['34.061400', '-118.238500']",34.061400,-118.238500
1737,1737,2022-05-18 12:18," (616 St. Paul Ave., Los Angeles, CA)",One bedroom for June!,1.0,647.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-one-bedroom-for-june/7485341296.html,"2,431","['34.055900', '-118.266600']",34.055900,-118.266600
1739,1739,2022-05-18 12:16," (5351 San Vicente Boulevard, Los Angeles, CA)",One Bedrooms available now! Great Location!,1.0,585.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-one-bedrooms-available-now/7485340334.html,"2,078","['34.048200', '-118.334300']",34.048200,-118.334300
1740,1740,2022-05-18 12:15," (Pico Rivera, Montebello, Downey, Whittier)",Ready To Move In-Stylish And Roomy-Relax At Your New Home!,2.0,875.0,https://losangeles.craigslist.org/lac/apa/d/pico-rivera-ready-to-move-in-stylish/7485339731.html,"2,425","['33.998952', '-118.083501']",33.998952,-118.083501
1741,1741,2022-05-18 12:15, (central LA 213/323),"Stainless Steel Appls, Balcony, 2 Bed 2 Bath in The Miracle Mile",2.0,1000.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-stainless-steel-appls/7485339696.html,"2,825","['34.064314', '-118.345392']",34.064314,-118.345392
