,Unnamed: 0,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon,y,x
0,0,5/24/22 17:35," (17171 West Roscoe Boulevard, Los Angeles, CA)","Evening courtesy patrol, Mirrored wardrobe, Onsite fitness center",1,650,https://losangeles.craigslist.org/sfv/apa/d/northridge-evening-courtesy-patrol/7487954853.html,"2,215","['34.235300', '-118.518800']",34.235300,118.518800
1,1,5/24/22 17:35, (NORTH HOLLYWOOD),"HOUSE FOR LEASE! WASHER DRYER, WD FLR, CENTRAL AC, SS APPLS, FRIDGE",4,,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-house-for-lease-washer/7487954757.html,"3,900","['34.205700', '-118.400100']",34.205700,118.400100
2,2,5/24/22 17:34, (NORTH HOLLYWOOD),"BRAND NEW BUILT TOWNHOUSE BACKHOUSE,WASHER DRYER, CENTRAL AC, SS APPLS",3,1200,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-brand-new-built/7487954636.html,"3,500","['34.205700', '-118.400100']",34.205700,118.400100
3,3,5/24/22 17:32," (6530 Independence Ave. Canoga Park, CA)","2 Bedroom with pool, spa, BBQ, firepit, gym, Clubhouse, Parking",2,792,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-bedroom-with-pool-spa/7487953903.html,"2,680","[None, None]",[None, None]
4,4,5/24/22 17:29, (Lake Balboa),"Perfect location with gorgeous views! 1 bed, 1 bath! 577 Sq Ft!",1,577,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-perfect-location-with-gorgeous/7487952898.html,"1,950","['34.187240', '-118.494759']",34.187240,118.494759
5,5,5/24/22 17:28, (Valencia),"Wood Styled Flooring, Outdoor Barbecue & fireplace",2,1041,https://losangeles.craigslist.org/sfv/apa/d/stevenson-ranch-wood-styled-flooring/7487952685.html,"3,050","['34.377500', '-118.613100']",34.377500,118.613100
6,6,5/24/22 17:26, (Los Angeles),Los Feliz Home Available Now for look and Lease,1,710,https://losangeles.craigslist.org/sfv/apa/d/los-angeles-los-feliz-home-available/7487952117.html,"2,595","['34.111273', '-118.290529']",34.111273,118.290529
7,7,5/24/22 17:24, (san fernando valley),"Top Floor 2 bed/2 bath, Fully Renovated",2,1000,https://losangeles.craigslist.org/sfv/apa/d/glendale-top-floor-bed-bath-fully/7480565272.html,"2,980","['34.146996', '-118.245669']",34.146996,118.245669
8,8,5/24/22 17:22, (Burbank),Studio on First Floor Available NOW!,,466,https://losangeles.craigslist.org/sfv/apa/d/burbank-studio-on-first-floor-available/7487947510.html,"2,185","['34.158920', '-118.313173']",34.158920,118.313173
9,9,5/24/22 17:22," (4045 Vineland Avenue, Los Angeles, CA)","Washer/dryer, AT&T UVerse available, Granite countertops",1,765,https://losangeles.craigslist.org/sfv/apa/d/studio-city-washer-dryer-att-uverse/7487950680.html,"3,068","['34.143000', '-118.391300']",34.143000,118.391300
10,10,5/24/22 17:21, (Studio City),Studio City 1 Bedroom * SS Appliances * Recessed Lighting * A/C,1,683,https://losangeles.craigslist.org/sfv/apa/d/studio-city-studio-city-bedroom-ss/7482296053.html,"2,295","['34.146706', '-118.396413']",34.146706,118.396413
11,11,5/24/22 17:21, (Los Angeles/Universal City),"1 Bedroom  in Hollywood Hills/Universal City, Ceiling Fan, A/C, Pool",1,800,https://losangeles.craigslist.org/sfv/apa/d/universal-city-bedroom-in-hollywood/7482530035.html,"1,750","['34.129647', '-118.350391']",34.129647,118.350391
12,12,5/24/22 17:21, (Moments to Ventura Boulevard),Amazing 1 Bedroom in Sherman Oaks -Picnic Area -Controlled Access -Gym,1,800,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-amazing-bedroom-in-sherman/7482279786.html,"2,195","['34.155773', '-118.454367']",34.155773,118.454367
13,13,5/24/22 17:21, (Northridge),"Northridge Spacious 1+1 w/ New SS Appliances, Fireplace, Balcony",1,850,https://losangeles.craigslist.org/sfv/apa/d/northridge-northridge-spacious-11-new/7484160367.html,"1,925","['34.252059', '-118.523030']",34.252059,118.523030
14,14,5/24/22 17:20, (Reseda),"RESEDA 1+1 w/ SS Appliances, Plank Flooring, Parking, Balcony",1,825,https://losangeles.craigslist.org/sfv/apa/d/reseda-reseda-11-ss-appliances-plank/7481229422.html,"1,950","['34.212756', '-118.535918']",34.212756,118.535918
15,15,5/24/22 17:20, (Northridge),1+1 in Northridge w/ Central AC - Gated Parking - Gym - Swimming Pool,1,653,https://losangeles.craigslist.org/sfv/apa/d/northridge-11-in-northridge-central-ac/7480055304.html,"1,895","['34.252105', '-118.519809']",34.252105,118.519809
16,16,5/24/22 17:19, (VALLEY VILLAGE / SHERMAN OAKS),"MODERN ALL NEW 1+1 w/BALCONY, POOL, PARKING, CNTRL AC, LAUNDRY! 9988",1,,https://losangeles.craigslist.org/sfv/apa/d/valley-village-modern-all-new-11/7484601059.html,"2,150","['34.165121', '-118.393049']",34.165121,118.393049
17,17,5/24/22 17:18," (18414 W. Jakes Way, Canyon Country, CA)",A Beautiful Place to Call Home,2,860,https://losangeles.craigslist.org/sfv/apa/d/canyon-country-beautiful-place-to-call/7487949432.html,"2,312","['34.413200', '-118.426000']",34.413200,118.426000
18,18,5/24/22 17:17, (Sherman Oaks),Stainless Steel Appls | Refrigerator | 1 Bedroom 1 BA in Sherman Oaks,1,800,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-stainless-steel-appls/7484835201.html,"2,195","['34.155182', '-118.457519']",34.155182,118.457519
19,19,5/24/22 17:17, (Burbank),1+1 in Burbank W/ Private Yard - Vinyl Wood Floors - Virtual Tour,1,,https://losangeles.craigslist.org/sfv/apa/d/burbank-11-in-burbank-private-yard/7478709163.html,"2,295","['34.180656', '-118.349229']",34.180656,118.349229
20,20,5/24/22 17:16, (Panorama City),Panorama City Studio | Wood Style Floors | Pool | Extra Storage,,500,https://losangeles.craigslist.org/sfv/apa/d/panorama-city-panorama-city-studio-wood/7481227106.html,"1,495","['34.216904', '-118.466359']",34.216904,118.466359
21,21,5/24/22 17:15, (san fernando valley),"0/bd 1/ba, Landscaped courtyards, In North Hollywood",,575,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-bd-ba-landscaped/7485422252.html,"1,843","['34.205700', '-118.400100']",34.205700,118.400100
22,22,5/24/22 17:14, (san fernando valley),"1 BD, Reserved covered parking, in Hacienda Heights CA",1,650,https://losangeles.craigslist.org/sfv/apa/d/hacienda-heights-bd-reserved-covered/7487948228.html,"2,073","['33.990598', '-117.969885']",33.990598,117.969885
23,23,5/24/22 17:14," (Woodland Hills, CA)",🎁Treat yo self🎁 to a new home! Come tour Reveal apartments!~~,1,680,https://losangeles.craigslist.org/sfv/apa/d/canoga-park-treat-yo-self-to-new-home/7487948042.html,"2,329","['34.190903', '-118.593987']",34.190903,118.593987
24,24,5/24/22 17:14, (san fernando valley),Beautiful 2 Bedroom in Sherman Oaks ~Fridge ~Parking Included ~Pool,2,1000,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-beautiful-bedroom-in/7487944678.html,"2,650","['34.164921', '-118.448781']",34.164921,118.448781
25,25,5/24/22 17:12, (Santa Clarita),"Laundry Facilities, Tennis Court, Air Conditioning, Carpet",1,700,https://losangeles.craigslist.org/sfv/apa/d/santa-clarita-laundry-facilities-tennis/7487947498.html,"2,056","['34.379500', '-118.523000']",34.379500,118.523000
26,26,5/24/22 17:11," (22219 Summit Vue Lane, Woodland Hills, CA)","Central Air Conditioning, Natural Skylight, Generous Linen Storage",2,1117,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-central-air-conditioning/7487947020.html,"3,772","['34.176700', '-118.615900']",34.176700,118.615900
27,27,5/24/22 17:10, (san fernando valley),"0 BD, Flexible lease terms available, North Hollywood CA",,525,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-bd-flexible-lease-terms/7487946919.html,"1,838","['34.205700', '-118.400100']",34.205700,118.400100
28,28,5/24/22 17:10, (Tujunga),This spacious beautiful gem is ready for you to make it a home,1,795,https://losangeles.craigslist.org/sfv/apa/d/tujunga-this-spacious-beautiful-gem-is/7487946839.html,"1,300","['34.258002', '-118.283110']",34.258002,118.283110
29,29,5/24/22 17:09, (Sherman Oaks),SHERMAN OAKS 2 Bedroom 2 Bath - Parking - Storage Space - Updated,2,1100,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-sherman-oaks-bedroom-bath/7481643595.html,"2,495","['34.153964', '-118.455415']",34.153964,118.455415
30,30,5/24/22 17:09, (san fernando valley),"Dishwasher, Beautiful Landscaping, Cable Ready",2,997,https://losangeles.craigslist.org/sfv/apa/d/canyon-country-dishwasher-beautiful/7483772495.html,"2,217","['34.413200', '-118.426000']",34.413200,118.426000
31,31,5/24/22 17:08, (Van Nuys),Newer Community + Patio/Balcony + 2 Bedroom 2 BA Sherman Oaks ADJ,2,980,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-newer-community-patio-balcony/7487942217.html,"3,095","['34.189024', '-118.466316']",34.189024,118.466316
32,32,5/24/22 17:08, (san fernando valley),"Four 24-Hour Laundry Facilities, Barbecue Area with Gas Grills",3,2000,https://losangeles.craigslist.org/sfv/apa/d/glendale-four-24-hour-laundry/7487946301.html,"4,199","['34.169833', '-118.284282']",34.169833,118.284282
33,33,5/24/22 17:08, (Sherman Oaks),2+2 In Sherman Oaks * Fitness Center * Pool * Updated * Call Now!,2,1260,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-22-in-sherman-oaks-fitness/7476757550.html,"2,595","['34.155257', '-118.455415']",34.155257,118.455415
34,34,5/24/22 17:08, (Valenica),Amazing Beautiful 55+ Apartments! Join Our Waitlist!,1,700,https://losangeles.craigslist.org/sfv/apa/d/valencia-amazing-beautiful-55/7487946130.html,"2,700","['34.442587', '-118.535494']",34.442587,118.535494
35,35,5/24/22 17:07, (Van Nuys),The right place for you! Beautiful 2 bed / 2 bath - prime location!,2,1082,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-the-right-place-for-you/7487945830.html,"3,280","['34.188504', '-118.466316']",34.188504,118.466316
36,36,5/24/22 17:07, (san fernando valley),Move-in with NO SECURITY DEPOSIT: Only a small one-time fee,2,1306,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-move-in-with-no-security/7487945826.html,"3,391","['34.176700', '-118.615900']",34.176700,118.615900
37,37,5/24/22 17:06," (6610 Vanalden Ave Reseda, CA)","Faux Wood Vinyl floors, Dishwasher, Kitchen Pantry, Large Closet",1,621,https://losangeles.craigslist.org/sfv/apa/d/reseda-faux-wood-vinyl-floors/7487945499.html,"1,860","['34.190420', '-118.549118']",34.190420,118.549118
38,38,5/24/22 17:04, (South of Ventura Boulevard),2 Bedroom in Sherman Oaks + Controlled Access + F/P + Ceiling Fans,2,750,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-bedroom-in-sherman-oaks/7487943358.html,"2,395","['34.149510', '-118.447538']",34.149510,118.447538
39,39,5/24/22 17:04, (Chastworth),"Hurry this hidden gem won't last!!!! Beautiful 2x1, Patio",2,750,https://losangeles.craigslist.org/sfv/apa/d/chatsworth-hurry-this-hidden-gem-wont/7482863612.html,"2,300","['34.251537', '-118.587110']",34.251537,118.587110
40,40,5/24/22 17:04, (Woodland Hills),There's a Reason Why Summers are More Fun at Motif!,1,823,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-theres-reason-why/7487944840.html,"2,675","['34.182827', '-118.591016']",34.182827,118.591016
41,41,5/24/22 17:04, (North Hollywood),Patio/Balcony - Granite - A/C - 2 Bedroom 2 BA in N. Hollywood,2,950,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-patio-balcony-granite-c/7487944793.html,"2,050","['34.190205', '-118.387813']",34.190205,118.387813
42,42,5/24/22 17:03, (VALLEY GLEN),"********GORGEOUS BACKHOUSE, ALL UTILITIES PAID, WASHER DRYER, SS APPLS",1,,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-gorgeous-backhouse-all/7487944551.html,"2,450","['34.180200', '-118.432400']",34.180200,118.432400
43,43,5/24/22 17:03, (san fernando valley),Granite *SS Appliances *A/C *3 Bedroom 2.5 Bath in Studio City,3,1830,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-granite-ss-appliances-c/7487944493.html,"4,100","['34.145069', '-118.374283']",34.145069,118.374283
44,44,5/24/22 17:03," (4041 Arch Dr, Los Angeles, CA)","Air Conditioner, Spanish Speaking Staff, Efficient Appliances",,300,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-air-conditioner-spanish/7476594017.html,"1,495","['34.141890', '-118.371475']",34.141890,118.371475
45,45,5/24/22 17:03, (VAN NUYS),"SPACIOUS TOWNHOUSE CONDO, ATTACHED GARAGE, W/D IN UNIT, SS APPLS,",3,1488,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-spacious-townhouse-condo/7487944447.html,"3,300","['34.200100', '-118.445600']",34.200100,118.445600
46,46,5/24/22 17:02, (Van Nuys),Nice Studio in Van Nuys * Complete Kitchen * Air Conditioning * Pool,,425,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-nice-studio-in-van-nuys/7487944256.html,"1,575","['34.193804', '-118.466316']",34.193804,118.466316
47,47,5/24/22 17:02, (Glendale),Live & Work Here! Come See What This Space Has to Offer!,1,1350,https://losangeles.craigslist.org/sfv/apa/d/north-hills-live-work-here-come-see/7487944137.html,"3,875","['34.161506', '-118.282409']",34.161506,118.282409
48,48,5/24/22 17:02, (Northridge),2+2 in Northridge +SS Appliances +Vinyl Plank Flrs +Quartz Counters,2,945,https://losangeles.craigslist.org/sfv/apa/d/northridge-22-in-northridge-ss/7487944096.html,"2,750","['34.250203', '-118.521639']",34.250203,118.521639
