,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon,y,x
23,2022-05-24 17:14," (Woodland Hills, CA)",🎁Treat yo self🎁 to a new home! Come tour Reveal apartments!~~,1.0,680.0,https://losangeles.craigslist.org/sfv/apa/d/canoga-park-treat-yo-self-to-new-home/7487948042.html,"2,329","['34.190903', '-118.593987']",,
24,2022-05-24 17:14, (san fernando valley),Beautiful 2 Bedroom in Sherman Oaks ~Fridge ~Parking Included ~Pool,2.0,1000.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-beautiful-bedroom-in/7487944678.html,"2,650","['34.164921', '-118.448781']",,
25,2022-05-24 17:12, (Santa Clarita),"Laundry Facilities, Tennis Court, Air Conditioning, Carpet",1.0,700.0,https://losangeles.craigslist.org/sfv/apa/d/santa-clarita-laundry-facilities-tennis/7487947498.html,"2,056","['34.379500', '-118.523000']",,
26,2022-05-24 17:11," (22219 Summit Vue Lane, Woodland Hills, CA)","Central Air Conditioning, Natural Skylight, Generous Linen Storage",2.0,1117.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-central-air-conditioning/7487947020.html,"3,772","['34.176700', '-118.615900']",,
27,2022-05-24 17:10, (san fernando valley),"0 BD, Flexible lease terms available, North Hollywood CA",,525.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-bd-flexible-lease-terms/7487946919.html,"1,838","['34.205700', '-118.400100']",,
28,2022-05-24 17:10, (Tujunga),This spacious beautiful gem is ready for you to make it a home,1.0,795.0,https://losangeles.craigslist.org/sfv/apa/d/tujunga-this-spacious-beautiful-gem-is/7487946839.html,"1,300","['34.258002', '-118.283110']",,
29,2022-05-24 17:09, (Sherman Oaks),SHERMAN OAKS 2 Bedroom 2 Bath - Parking - Storage Space - Updated,2.0,1100.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-sherman-oaks-bedroom-bath/7481643595.html,"2,495","['34.153964', '-118.455415']",,
30,2022-05-24 17:09, (san fernando valley),"Dishwasher, Beautiful Landscaping, Cable Ready",2.0,997.0,https://losangeles.craigslist.org/sfv/apa/d/canyon-country-dishwasher-beautiful/7483772495.html,"2,217","['34.413200', '-118.426000']",,
31,2022-05-24 17:08, (Van Nuys),Newer Community + Patio/Balcony + 2 Bedroom 2 BA Sherman Oaks ADJ,2.0,980.0,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-newer-community-patio-balcony/7487942217.html,"3,095","['34.189024', '-118.466316']",,
32,2022-05-24 17:08, (san fernando valley),"Four 24-Hour Laundry Facilities, Barbecue Area with Gas Grills",3.0,2000.0,https://losangeles.craigslist.org/sfv/apa/d/glendale-four-24-hour-laundry/7487946301.html,"4,199","['34.169833', '-118.284282']",,
33,2022-05-24 17:08, (Sherman Oaks),2+2 In Sherman Oaks * Fitness Center * Pool * Updated * Call Now!,2.0,1260.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-22-in-sherman-oaks-fitness/7476757550.html,"2,595","['34.155257', '-118.455415']",,
34,2022-05-24 17:08, (Valenica),Amazing Beautiful 55+ Apartments! Join Our Waitlist!,1.0,700.0,https://losangeles.craigslist.org/sfv/apa/d/valencia-amazing-beautiful-55/7487946130.html,"2,700","['34.442587', '-118.535494']",,
35,2022-05-24 17:07, (Van Nuys),The right place for you! Beautiful 2 bed / 2 bath - prime location!,2.0,1082.0,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-the-right-place-for-you/7487945830.html,"3,280","['34.188504', '-118.466316']",,
36,2022-05-24 17:07, (san fernando valley),Move-in with NO SECURITY DEPOSIT: Only a small one-time fee,2.0,1306.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-move-in-with-no-security/7487945826.html,"3,391","['34.176700', '-118.615900']",,
37,2022-05-24 17:06," (6610 Vanalden Ave Reseda, CA)","Faux Wood Vinyl floors, Dishwasher, Kitchen Pantry, Large Closet",1.0,621.0,https://losangeles.craigslist.org/sfv/apa/d/reseda-faux-wood-vinyl-floors/7487945499.html,"1,860","['34.190420', '-118.549118']",,
38,2022-05-24 17:04, (South of Ventura Boulevard),2 Bedroom in Sherman Oaks + Controlled Access + F/P + Ceiling Fans,2.0,750.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-bedroom-in-sherman-oaks/7487943358.html,"2,395","['34.149510', '-118.447538']",,
39,2022-05-24 17:04, (Chastworth),"Hurry this hidden gem won't last!!!! Beautiful 2x1, Patio",2.0,750.0,https://losangeles.craigslist.org/sfv/apa/d/chatsworth-hurry-this-hidden-gem-wont/7482863612.html,"2,300","['34.251537', '-118.587110']",,
40,2022-05-24 17:04, (Woodland Hills),There's a Reason Why Summers are More Fun at Motif!,1.0,823.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-theres-reason-why/7487944840.html,"2,675","['34.182827', '-118.591016']",,
41,2022-05-24 17:04, (North Hollywood),Patio/Balcony - Granite - A/C - 2 Bedroom 2 BA in N. Hollywood,2.0,950.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-patio-balcony-granite-c/7487944793.html,"2,050","['34.190205', '-118.387813']",,
42,2022-05-24 17:03, (VALLEY GLEN),"********GORGEOUS BACKHOUSE, ALL UTILITIES PAID, WASHER DRYER, SS APPLS",1.0,,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-gorgeous-backhouse-all/7487944551.html,"2,450","['34.180200', '-118.432400']",,
43,2022-05-24 17:03, (san fernando valley),Granite *SS Appliances *A/C *3 Bedroom 2.5 Bath in Studio City,3.0,1830.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-granite-ss-appliances-c/7487944493.html,"4,100","['34.145069', '-118.374283']",,
44,2022-05-24 17:03," (4041 Arch Dr, Los Angeles, CA)","Air Conditioner, Spanish Speaking Staff, Efficient Appliances",,300.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-air-conditioner-spanish/7476594017.html,"1,495","['34.141890', '-118.371475']",,
45,2022-05-24 17:03, (VAN NUYS),"SPACIOUS TOWNHOUSE CONDO, ATTACHED GARAGE, W/D IN UNIT, SS APPLS,",3.0,1488.0,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-spacious-townhouse-condo/7487944447.html,"3,300","['34.200100', '-118.445600']",,
46,2022-05-24 17:02, (Van Nuys),Nice Studio in Van Nuys * Complete Kitchen * Air Conditioning * Pool,,425.0,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-nice-studio-in-van-nuys/7487944256.html,"1,575","['34.193804', '-118.466316']",,
47,2022-05-24 17:02, (Glendale),Live & Work Here! Come See What This Space Has to Offer!,1.0,1350.0,https://losangeles.craigslist.org/sfv/apa/d/north-hills-live-work-here-come-see/7487944137.html,"3,875","['34.161506', '-118.282409']",,
48,2022-05-24 17:02, (Northridge),2+2 in Northridge +SS Appliances +Vinyl Plank Flrs +Quartz Counters,2.0,945.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-22-in-northridge-ss/7487944096.html,"2,750","['34.250203', '-118.521639']",,
49,2022-05-24 17:02, (Encino),"Separate Studio Lake Encino free utilities , Free WiFi",1.0,300.0,https://losangeles.craigslist.org/sfv/apa/d/encino-separate-studio-lake-encino-free/7487944085.html,"1,650","['34.165500', '-118.517500']",,
50,2022-05-24 17:02," (22219 Summit Vue Lane, Woodland Hills, CA)","Circuit Training Course, Business Center, Putting Green & Par Course",2.0,1176.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-circuit-training-course/7484559920.html,"3,512","['34.176700', '-118.615900']",,
51,2022-05-24 17:01, (Glendale),Glendale Newly Renovated 2+1 with SS Appliances + Fitness Center,2.0,875.0,https://losangeles.craigslist.org/sfv/apa/d/glendale-glendale-newly-renovated-21/7487944006.html,"2,450","['34.133366', '-118.262479']",,
52,2022-05-24 17:01," (17171 West Roscoe Boulevard, Los Angeles, CA)","Mirrored wardrobe, Relaxing jet spa, Ceiling fan",,460.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-mirrored-wardrobe-relaxing/7487036108.html,"1,785","['34.235300', '-118.518800']",,
53,2022-05-24 17:01, (VAN NUYS),"SPACIOUS TOWNHOUSE CONDO, ATTACHED GARAGE, W/D IN UNIT, SS APPLS,",3.0,1488.0,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-spacious-townhouse-condo/7487943766.html,"3,300","['34.200100', '-118.445600']",,
54,2022-05-24 17:01, (Glendale),Lovely 1 bed 1 bath,1.0,,https://losangeles.craigslist.org/sfv/apa/d/glendale-lovely-bed-bath/7487943706.html,"1,600","['34.131394', '-118.248976']",,
55,2022-05-24 17:00, (Pasadena),2Bedroom 1Bath With Sparking Pool,2.0,,https://losangeles.craigslist.org/sfv/apa/d/pasadena-2bedroom-1bath-with-sparking/7487943690.html,"2,550","['34.146800', '-118.139100']",,
56,2022-05-24 17:00, (GLENDALE),"PRIME GLENDALE LOCATION, NORTH OF GLENOAKS BLVD, FULLY RENOVATED HOME,",3.0,,https://losangeles.craigslist.org/sfv/apa/d/glendale-prime-glendale-location-north/7487943638.html,"4,695","['34.171600', '-118.289900']",,
57,2022-05-24 17:00, (VALLEY VILLAGE),1X1 Very Spacious Living Room! All Renovated! Poolside!,1.0,892.0,https://losangeles.craigslist.org/sfv/apa/d/valley-village-1x1-very-spacious-living/7487943551.html,"2,300","['34.157506', '-118.402321']",,
58,2022-05-24 17:00, (Studio City),Upper 2 BD Apt in Central Studio City w/ Plank Flooring (6095-5),2.0,900.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-upper-bd-apt-in-central/7487943379.html,"2,295","['34.139043', '-118.367857']",,
59,2022-05-24 16:59, (Northridge),An Amazing Location~ Close to Everything~ Renovated Homes!,2.0,900.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-an-amazing-location-close-to/7486092619.html,"2,695","['34.236700', '-118.546600']",,
60,2022-05-24 16:58, (san fernando valley),"Evening courtesy patrol, Designer window coverings, Ceiling fan",,460.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-evening-courtesy-patrol/7487942962.html,"1,785","['34.235300', '-118.518800']",,
61,2022-05-24 16:58, (GLENDALE),"*************GORGEOUS HOUSE, NEW BUILT, CENTRAL AC, WASHER DRYER *****",3.0,1200.0,https://losangeles.craigslist.org/sfv/apa/d/glendale-gorgeous-house-new-built/7487942950.html,"3,695","['34.137800', '-118.242500']",,
62,2022-05-24 16:58, (GLENDALE),"*************GORGEOUS HOUSE, NEW BUILT, CENTRAL AC, WASHER DRYER *****",3.0,1200.0,https://losangeles.craigslist.org/sfv/apa/d/glendale-gorgeous-house-new-built/7487942855.html,"3,695","['34.137800', '-118.242500']",,
63,2022-05-24 16:58, (NORTH HOLLYWOOD),"HOUSE FOR LEASE, WASHER DRYER, WD FLR, CENTRAL AC, SS APPLS, QUARTZ",4.0,,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-house-for-lease-washer/7487942704.html,"3,900","['34.205700', '-118.400100']",,
64,2022-05-24 16:58, (LA City Vouchers & EHV Accepted),LA City Vouchers & EHV Accepted - One Bd/One Bath (14914 Roscoe Blvd),1.0,700.0,https://losangeles.craigslist.org/sfv/apa/d/panorama-city-la-city-vouchers-ehv/7487941501.html,"1,924","['34.221203', '-118.458143']",,
65,2022-05-24 16:57, (GLENDALE),"*************GORGEOUS HOUSE, NEW BUILT, CENTRAL AC, WASHER DRYER *****",3.0,1200.0,https://losangeles.craigslist.org/sfv/apa/d/glendale-gorgeous-house-new-built/7487942605.html,"3,695","['34.137800', '-118.242500']",,
66,2022-05-24 16:57, (NORTH HOLLYWOOD),"************HOUSE FOR LEASE, WASHER DRYER, CENTRAL AC, NEWLY RENOVATED",4.0,,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-house-for-lease-washer/7487942519.html,"3,900","['34.205700', '-118.400100']",,
67,2022-05-24 16:56, (Northridge Adjacent/Reseda),Walk-in Closets ** Hardwood Flooring ** Fridge ** Studio in Reseda,,460.0,https://losangeles.craigslist.org/sfv/apa/d/reseda-walk-in-closets-hardwood/7487942096.html,"1,600","['34.209222', '-118.536018']",,
68,2022-05-24 16:56," (18414 W. Jakes Way, Canyon Country, CA)","Breakfast Bar, Lounging and Sunbathing Areas, Pantry",2.0,919.0,https://losangeles.craigslist.org/sfv/apa/d/canyon-country-breakfast-bar-lounging/7486297534.html,"2,400","['34.413200', '-118.426000']",,
69,2022-05-24 16:55, (TUJUNGA),"NEWLY RENOVATED ADU, CENTRAL AC, LAMINATE, SS APPLS, QUARTZ, PET OK",1.0,,https://losangeles.craigslist.org/sfv/apa/d/tujunga-newly-renovated-adu-central-ac/7487941758.html,"1,850","['34.254400', '-118.284900']",,
70,2022-05-24 16:55, (Sherman Oaks Adjacent),"Swimming Pool, BBQ Grill, Ceiling Fans, 3 Bedroom in Studio City",3.0,1700.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-swimming-pool-bbq-grill/7487941626.html,"3,595","['34.145876', '-118.418625']",,
71,2022-05-24 16:55, (Reseda),Garage Parking + Yoga Studio + Brand New 2+1.5 TH in Reseda,2.0,1008.0,https://losangeles.craigslist.org/sfv/apa/d/reseda-garage-parking-yoga-studio-brand/7487939482.html,"3,250","['34.190550', '-118.536033']",,
72,2022-05-24 16:55, (NORTH HOLLYWOOD),"***********HOUSE FOR LEASE! WASHER DRYER, WD FLR, CENTRAL AC, SS APPLS",4.0,,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-house-for-lease-washer/7487941566.html,"3,900","['34.205700', '-118.400100']",,
73,2022-05-24 16:55, (North Hills),"2+2 in North Hills with Large Closets, Pool,  Air Conditioning",2.0,825.0,https://losangeles.craigslist.org/sfv/apa/d/los-angeles-22-in-north-hills-with/7487941551.html,"1,995","['33.954493', '-118.396180']",,
74,2022-05-24 16:54, (NORTH HOLLYWOOD),"HOUSE FOR LEASE, WASHER DRYER, WD FLR, CENTRAL AC, SS APPLS, QUARTZ",4.0,,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-house-for-lease-washer/7487941460.html,"3,900","['34.205700', '-118.400100']",,
75,2022-05-24 16:51, (GLENDALE),Fabulous 1 bed 1 bath,1.0,,https://losangeles.craigslist.org/sfv/apa/d/glendale-fabulous-bed-bath/7487940327.html,"1,600","['34.131394', '-118.248976']",,
76,2022-05-24 16:51, (san fernando valley),Call our office to hear about our specials!,1.0,650.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-call-our-office-to-hear/7487940189.html,"2,070","['34.235300', '-118.518800']",,
77,2022-05-24 16:49, (san fernando valley),"Top Floor 2 bed/2 bath, Fully Renovated",2.0,1000.0,https://losangeles.craigslist.org/sfv/apa/d/glendale-top-floor-bed-bath-fully/7483208938.html,"3,080","['34.146996', '-118.245669']",,
78,2022-05-24 16:48, (san fernando valley),"Assigned/ covered parking, Vaulted ceilings, Fully gated community",1.0,630.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-assigned-covered-parking/7487939268.html,"2,210","['34.235300', '-118.518800']",,
79,2022-05-24 16:46," (4045 Vineland Avenue, Los Angeles, CA)","Balcony/patio, AT&T UVerse available, DirecTV available",2.0,1135.0,https://losangeles.craigslist.org/sfv/apa/d/studio-city-balcony-patio-att-uverse/7487938650.html,"3,901","['34.143000', '-118.391300']",,
80,2022-05-24 16:45, (North Hollywood),Chic Studio- Luxury Apartment,,543.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-chic-studio-luxury/7487923598.html,"1,900","['34.168700', '-118.371300']",,
81,2022-05-24 16:44," (North Hollywood, Hollywood, Los Angeles)",We Have One! Do You Want An Apartment With An Awesome View?,1.0,768.0,https://losangeles.craigslist.org/sfv/apa/d/toluca-lake-we-have-one-do-you-want-an/7487937827.html,"2,499","['34.168702', '-118.379139']",,
82,2022-05-24 16:43, (san fernando valley),"Microwave, Stainless Steel Appliances, Private Patio",2.0,900.0,https://losangeles.craigslist.org/sfv/apa/d/la-crescenta-microwave-stainless-steel/7487933078.html,"2,945","['34.231600', '-118.245700']",,
83,2022-05-24 16:43, (san fernando valley),"1/bd, 9-foot ceilings, Wood-style plank flooring",1.0,792.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-bd-foot-ceilings-wood-style/7481969295.html,"2,258","['34.236700', '-118.546600']",,
84,2022-05-24 16:43, (san fernando valley),"0 Bed, Flexible lease terms available, Refrigerator",,575.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-bed-flexible-lease/7481996851.html,"1,852","['34.205700', '-118.400100']",,
85,2022-05-24 16:42, (Northridge),Amazing Living in a Great Location w/ Great Amenities~ Pets ok,2.0,900.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-amazing-living-in-great/7487937328.html,"2,695","['34.236700', '-118.546600']",,
86,2022-05-24 16:42, (Burbank),1 + 1 + Loft --with Parking ---Town Center Apartments 💚 CALL NOW,1.0,890.0,https://losangeles.craigslist.org/sfv/apa/d/burbank-loft-with-parking-town-center/7487937201.html,"2,735","['34.200100', '-118.326400']",,
87,2022-05-24 16:42, (Close to Ventura Blvd),Efficiency In Sherman Oaks/Close to Ventura Blvd + Ceiling Fan,,350.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-efficiency-in-sherman-oaks/7487937185.html,"1,595","['34.150401', '-118.422704']",,
88,2022-05-24 16:42, (Downtown Glendale),Newly Renovated 2 Bedroom in Glendale_Wood Style Floors_Refrigerator,2.0,1100.0,https://losangeles.craigslist.org/sfv/apa/d/glendale-newly-renovated-bedroom-in/7487937077.html,"2,625","['34.156531', '-118.252708']",,
89,2022-05-24 16:42, (san fernando valley),"1 Bed, Theatre room, Woodland Hills CA",1.0,739.0,https://losangeles.craigslist.org/sfv/apa/d/canoga-park-bed-theatre-room-woodland/7487060531.html,"2,256","['34.199300', '-118.598300']",,
90,2022-05-24 16:41, (Valenica),Amazing Beautiful 55+ Apartments! Join Our Waitlist!,1.0,700.0,https://losangeles.craigslist.org/sfv/apa/d/valencia-amazing-beautiful-55/7487936757.html,"2,700","['34.442587', '-118.535494']",,
91,2022-05-24 16:41," (21041 Parthenia Street, Los Angeles, CA)",2 BEDROOM APARTMENT WITH HUGE POOL  !!!,2.0,1070.0,https://losangeles.craigslist.org/sfv/apa/d/canoga-park-bedroom-apartment-with-huge/7484501794.html,"2,590","['34.219700', '-118.611100']",,
92,2022-05-24 16:40, (Canoga Park / Warner Center),Wood Inspired Floors - 1 Bedroom in Canoga Park - Pool Lounge Area,1.0,700.0,https://losangeles.craigslist.org/sfv/apa/d/canoga-park-wood-inspired-floors/7487934631.html,"1,750","['34.201726', '-118.588318']",,
