,Unnamed: 0,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon,y,x
0,0,2022-05-25 13:02, (Fontana),ATTENTION YOU - 3 bed home for RENT - Text Mia to Pre-Qualify,3.0,1311.0,https://losangeles.craigslist.org/wst/apa/d/fontana-attention-you-bed-home-for-rent/7478808440.html,"2,960","['34.079400', '-117.455100']",34.079400,-117.455100
1,1,2022-05-25 13:02, (San Pedro),2/1 Home has great Craftsman style charm and beach house flow.,2.0,1016.0,https://losangeles.craigslist.org/wst/apa/d/san-pedro-1-home-has-great-craftsman/7488213219.html,"2,300","['33.732700', '-118.299000']",33.732700,-118.299000
2,2,2022-05-25 13:00, (Lennox),Awesome Studio ~ Very nice complex! ~ Near LAX! * Check it out! *,,312.0,https://losangeles.craigslist.org/wst/apa/d/inglewood-awesome-studio-very-nice/7488264659.html,"1,225","['33.939796', '-118.361313']",33.939796,-118.361313
3,3,2022-05-25 12:59, (Los Angeles),Sensational sauna available to residents at Casa de Marina!,2.0,923.0,https://losangeles.craigslist.org/wst/apa/d/playa-vista-sensational-sauna-available/7488264172.html,"2,920","['33.986055', '-118.424604']",33.986055,-118.424604
4,4,2022-05-25 12:58," (6300 Green Valley Circle, Culver City, CA)","LARGE 2x2 w/Patio, FREE Parking, HEATED Pool and Night Lit Tennis!",2.0,1170.0,https://losangeles.craigslist.org/wst/apa/d/culver-city-large-2x2-patio-free/7486377822.html,"3,316","['33.994900', '-118.399100']",33.994900,-118.399100
5,5,2022-05-25 12:57, (Los Angeles),1 Bedroom Heated Pool/ Gym,1.0,668.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-bedroom-heated-pool-gym/7488263600.html,"2,653","['34.018310', '-118.425311']",34.018310,-118.425311
6,6,2022-05-25 12:55," (1447 Lincoln Boulevard, Santa Monica, CA)","Online Payments Available, Courtesy Patrol, Elevator Access",1.0,386.0,https://losangeles.craigslist.org/wst/apa/d/santa-monica-online-payments-available/7487379794.html,"2,318","['34.017600', '-118.490700']",34.017600,-118.490700
7,7,2022-05-25 12:54, (Marina Del Rey),"YOUR NEXT ADDRESS IS THIS 1X1 APT. W/ A FIREPLACE, A BALCONY, & MORE",1.0,708.0,https://losangeles.craigslist.org/wst/apa/d/marina-del-rey-your-next-address-is/7488262220.html,"2,882","['33.979211', '-118.453165']",33.979211,-118.453165
9,9,2022-05-25 12:52, (Inglewood),Quiet Building! * Awesome 1 bedroom Unit * Close to LAX! Parking *,1.0,600.0,https://losangeles.craigslist.org/wst/apa/d/inglewood-quiet-building-awesome/7488261160.html,"1,695","['33.964215', '-118.362107']",33.964215,-118.362107
10,10,2022-05-25 12:52, (West LA/Culver City),"Top floor, sunset view, 11 foot ceilings, open floor plan!",1.0,740.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-top-floor-sunset-view-11/7488261003.html,"3,833","['34.029800', '-118.352800']",34.029800,-118.352800
11,11,2022-05-25 12:51, (westside-southbay-310),"Newly-Renovated Apartments, Pool, Fitness Center",,357.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-newly-renovated-apartments/7488260576.html,"2,087","['34.016053', '-118.420008']",34.016053,-118.420008
12,12,2022-05-25 12:50, (westside-southbay-310),** Beautiful 3 bedroom lots of light fully remodeled**,3.0,1200.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-beautiful-bedroom-lots-of/7488260307.html,,"['34.045100', '-118.185900']",34.045100,-118.185900
13,13,2022-05-25 12:50," (West Los Angeles, Westwood, Santa Monica)",🤩Furnished Room-Weekly-Fridge-Microwave-TV-WiFi-No Credit Check!🤩,1.0,103.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-furnished-room-weekly/7484386340.html,365,"['34.048005', '-118.449685']",34.048005,-118.449685
14,14,2022-05-25 12:50, (westside-southbay-310),"On-Site Management, Hardwood Floors, Laundry Facilities",2.0,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-on-site-management-hardwood/7488259815.html,"3,495","['34.066000', '-118.474000']",34.066000,-118.474000
15,15,2022-05-25 12:48," (555 Kelton Ave, Los Angeles, CA)",Because location really is everything! - Now Leasing for Fall!,1.0,650.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-because-location-really-is/7487382800.html,"2,656","['34.063700', '-118.440800']",34.063700,-118.440800
16,16,2022-05-25 12:48, (West Hollywood),"Utilities Included, North of Sunset Strip, Move in Today!",,480.0,https://losangeles.craigslist.org/wst/apa/d/west-hollywood-utilities-included-north/7488258956.html,"2,261","['34.091252', '-118.384611']",34.091252,-118.384611
17,17,2022-05-25 12:48, (westside-southbay-310),"Relaxing Gas Fireplace, Stove/Oven, Gated Access",,550.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-relaxing-gas-fireplace/7488258921.html,"2,384","['34.073385', '-118.382711']",34.073385,-118.382711
18,18,2022-05-25 12:39, (westside-southbay-310),"On-Site Management, Garage, Efficient Appliances",,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-on-site-management-garage/7485710227.html,"1,645","['34.066000', '-118.474000']",34.066000,-118.474000
19,19,2022-05-25 12:39," (4600 Vía Marina, Marina del Rey, CA)","Outdoor fitness center, Free community WiFi, 24-hour package lockers",2.0,1040.0,https://losangeles.craigslist.org/wst/apa/d/marina-del-rey-outdoor-fitness-center/7482169247.html,"3,880","['33.977900', '-118.452500']",33.977900,-118.452500
20,20,2022-05-25 12:35, (San Pedro),Brand new remodeled interior 1 bed 1ba apartment.,1.0,550.0,https://losangeles.craigslist.org/wst/apa/d/san-pedro-brand-new-remodeled-interior/7488209725.html,"1,625","['33.732700', '-118.299000']",33.732700,-118.299000
21,21,2022-05-25 12:35, (West Los Angeles),"Oh- Bright and renovated 2 bed, 2.5 bath luxury unit",2.0,1050.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-oh-bright-and-renovated-bed/7488253052.html,"3,395","['34.046609', '-118.453245']",34.046609,-118.453245
22,22,2022-05-25 12:35, (westside-southbay-310),** Beautiful 3 bedroom lots of light fully remodeled**,3.0,1200.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-beautiful-bedroom-lots-of/7488252759.html,,"['34.045100', '-118.185900']",34.045100,-118.185900
23,23,2022-05-25 12:34, (westside-southbay-310),** Beautiful 3 bedroom lots of light fully remodeled**,3.0,1200.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-beautiful-bedroom-lots-of/7488252353.html,,"['34.045100', '-118.185900']",34.045100,-118.185900
24,24,2022-05-25 12:33, (westside-southbay-310),** Beautiful 3 bedroom lots of light fully remodeled**,3.0,1200.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-beautiful-bedroom-lots-of/7480367144.html,,"['34.045100', '-118.185900']",34.045100,-118.185900
25,25,2022-05-25 12:33," (5116 Dahlia Dr, Los Angeles, CA)",Gorgeous 4 bedroom 3 bath Springdale Home For Rent!,4.0,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-gorgeous-bedroom-bath/7488243336.html,"1,210","['34.133900', '-118.208200']",34.133900,-118.208200
26,26,2022-05-25 12:33, (Hermosa Beach),"RARELY AVAILABLE 1 BED, 1 BATH APARTMENT",1.0,781.0,https://losangeles.craigslist.org/wst/apa/d/hermosa-beach-rarely-available-bed-bath/7488251946.html,"3,984","['33.864300', '-118.395500']",33.864300,-118.395500
27,27,2022-05-25 12:28, (10833 Wilshire Blvd.),Lavish 1 Bedroom with Stainless Steel Appliances- Unit #530,1.0,744.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-lavish-bedroom-with/7488249397.html,"4,359","['34.063700', '-118.440800']",34.063700,-118.440800
28,28,2022-05-25 12:27, (Van Nuys),"Brand New, Renovated, Beautiful 1 Bedroom + 1 Bath",1.0,,https://losangeles.craigslist.org/wst/apa/d/van-nuys-brand-new-renovated-beautiful/7478710240.html,"1,900","['34.185705', '-118.441518']",34.185705,-118.441518
29,29,2022-05-25 12:26, (Marina Del Rey),Waterfront 1x1 Home with a Fully Loaded Kitchen!,1.0,733.0,https://losangeles.craigslist.org/wst/apa/d/marina-del-rey-waterfront-1x1-home-with/7488248601.html,"3,408","['33.979153', '-118.452037']",33.979153,-118.452037
30,30,2022-05-25 12:25, (Playa Vista),"Controlled Access, Stylish Features, Washer Dryer in Unit",2.0,1303.0,https://losangeles.craigslist.org/wst/apa/d/playa-vista-controlled-access-stylish/7488248317.html,"4,432","['33.968339', '-118.426624']",33.968339,-118.426624
31,31,2022-05-25 12:25, (Santa Monica),"Charming, convenient, partially detached 1-bed upper unit...",1.0,600.0,https://losangeles.craigslist.org/wst/apa/d/santa-monica-charming-convenient/7488217785.html,"1,795","['34.026700', '-118.493000']",34.026700,-118.493000
32,32,2022-05-25 12:23, (westside-southbay-310),"Microwave, Controlled Access/Gated, Spacious Floorplans",2.0,897.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-microwave-controlled-access/7477469327.html,"3,137","['33.985300', '-118.370700']",33.985300,-118.370700
33,33,2022-05-25 12:22," (1410 5th Street, Santa Monica, CA)","1x1, Spacious balcony, Parking, Rooftop",1.0,639.0,https://losangeles.craigslist.org/wst/apa/d/santa-monica-1x1-spacious-balcony/7486548507.html,"3,799","['34.017600', '-118.490700']",34.017600,-118.490700
34,34,2022-05-25 12:21, (West Hollywood),Extra large 2 bed/2 bath in incredible WeHo location w parking 920@24,2.0,1100.0,https://losangeles.craigslist.org/wst/apa/d/west-hollywood-extra-large-bed-bath-in/7479033551.html,"2,975","['34.088013', '-118.360283']",34.088013,-118.360283
35,35,2022-05-25 12:21, (Del Rey),Berryman Apts...Newly Remodeled One Bedroom...in unit Washer/Dryer!,1.0,600.0,https://losangeles.craigslist.org/wst/apa/d/culver-city-berryman-aptsnewly/7486474543.html,"2,395","['34.001016', '-118.415602']",34.001016,-118.415602
36,36,2022-05-25 12:21, (West Hollywood),Large West Hollywood 1-bdrm with parking 1145@105,1.0,850.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-large-west-hollywood-bdrm/7479035193.html,"2,400","['34.091531', '-118.359361']",34.091531,-118.359361
37,37,2022-05-25 12:21, (SANTA MONICA AND FAIRFAX),HUGE FRONT UPPER 3 BEDROOMS & 2 BATHS; HUGE BALCONY IN WEST HOLLYWOOD,3.0,1850.0,https://losangeles.craigslist.org/wst/apa/d/west-hollywood-huge-front-upper/7485234566.html,"4,050","['34.091745', '-118.360155']",34.091745,-118.360155
38,38,2022-05-25 12:20," (555 Levering Ave, Los Angeles, CA)","Elevator, Air Conditioner, Microwave - Now Leasing for Fall!",,525.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-elevator-air-conditioner/7488245850.html,"2,284","['34.063700', '-118.440800']",34.063700,-118.440800
39,39,2022-05-25 12:20," (_____Gifford Ave Maywood, CA____)",#### Home in a multi family property !#####,1.0,,https://losangeles.craigslist.org/wst/apa/d/maywood-home-in-multi-family-property/7488245655.html,"1,250","['33.989000', '-118.187700']",33.989000,-118.187700
40,40,2022-05-25 12:20, (Pico Robertson),"Huge, upper 2bed/1.5 bath in Spanish 4-plex",2.0,1200.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-huge-upper-2bed-15-bath-in/7476598710.html,,"['34.051255', '-118.379745']",34.051255,-118.379745
41,41,2022-05-25 12:20, (Playa Vista),"On-Call Service Team, Private Balconies, Disposal, Central HVAC",1.0,619.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-on-call-service-team/7488245486.html,"2,792","['34.003000', '-118.429800']",34.003000,-118.429800
42,42,2022-05-25 12:19," (3767 Clarington Ave, Los Angeles, CA)","Carpeting, Gas Range, Cable Ready",1.0,810.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-carpeting-gas-range-cable/7488244967.html,"2,800","['34.029000', '-118.400500']",34.029000,-118.400500
43,43,2022-05-25 12:18," (375 North La Cienega Boulevard, West Hollywood, CA)","Conference Room, Package Lockers, Complimentary Package Acceptance",1.0,672.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-conference-room-package/7488244863.html,"3,932","['34.073700', '-118.372000']",34.073700,-118.372000
44,44,2022-05-25 12:18, (Playa Del Rey),"Refrigerator*, Vaulted Ceilings*, Spa, Laundry Facility",,500.0,https://losangeles.craigslist.org/wst/apa/d/playa-del-rey-refrigerator-vaulted/7488244621.html,"2,219","['33.957700', '-118.437300']",33.957700,-118.437300
45,45,2022-05-25 12:18," (2200 Colorado Ave, Santa Monica, CA)","Freeway Access, Shimmering Outdoor Pool, Courtyard",2.0,1094.0,https://losangeles.craigslist.org/wst/apa/d/santa-monica-freeway-access-shimmering/7488244593.html,"4,359","['34.026866', '-118.475177']",34.026866,-118.475177
46,46,2022-05-25 12:16," (4600 Vía Marina, Marina del Rey, CA)","Cathedral ceilings on top floor units, Online rent payments, Library",2.0,1182.0,https://losangeles.craigslist.org/wst/apa/d/marina-del-rey-cathedral-ceilings-on/7488243683.html,"3,512","['33.977900', '-118.452500']",33.977900,-118.452500
47,47,2022-05-25 12:16, (westside-southbay-310),Blooming Specials at Casa Granada!,,470.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-blooming-specials-at-casa/7488243526.html,"2,271","['34.066000', '-118.474000']",34.066000,-118.474000
48,48,2022-05-25 12:16, (Venice Beach),"Recently Updated 3 Bedroom 2 Bath Quiet Walk Street, Steps to Sand",3.0,1400.0,https://losangeles.craigslist.org/wst/apa/d/venice-recently-updated-bedroom-bath/7479202806.html,"5,500","['33.980825', '-118.467207']",33.980825,-118.467207
49,49,2022-05-25 12:15, (Venice Beach),"Recently Updated 3 Bedroom 2 Bath Quiet Walk Street, Steps to Sand",3.0,1400.0,https://losangeles.craigslist.org/wst/apa/d/venice-recently-updated-bedroom-bath/7479080853.html,"5,500","['33.980825', '-118.467207']",33.980825,-118.467207
50,50,2022-05-25 12:15, (Venice),Large 3 Bedroom 2 Bath on Quiet Walk Street Steps from Sand in Venice,3.0,1400.0,https://losangeles.craigslist.org/wst/apa/d/venice-large-bedroom-bath-on-quiet-walk/7479079793.html,"5,500","['33.980825', '-118.467207']",33.980825,-118.467207
51,51,2022-05-25 12:14," (233 South Barrington Avenue, Los Angeles, CA)","Plank wood flooring, Rose granite counters, Mirrored closets, Patio",1.0,800.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-plank-wood-flooring-rose/7488242607.html,"3,223","['34.066000', '-118.474000']",34.066000,-118.474000
52,52,2022-05-25 12:12," (17621 W. Pauline Ct., Los Angeles, CA)","State-Of-The-Art Fitness Center, Enclosed Dog Park, Dishwasher",2.0,1056.0,https://losangeles.craigslist.org/wst/apa/d/canyon-country-state-of-the-art-fitness/7478845062.html,"2,780","['34.413200', '-118.426000']",34.413200,-118.426000
53,53,2022-05-25 12:11, (4250 Glencoe Avenue),"Washer and dryer, Stainless steel appliances, Elevator",1.0,774.0,https://losangeles.craigslist.org/wst/apa/d/marina-del-rey-washer-and-dryer/7488241363.html,"3,368","['33.987945', '-118.440992']",33.987945,-118.440992
54,54,2022-05-25 12:07," (6300 Green Valley Circle, Culver City, CA)","Your urban oasis is here! 1x1 w/ pools, fitness center, BBQs, and more",1.0,710.0,https://losangeles.craigslist.org/wst/apa/d/culver-city-your-urban-oasis-is-here/7488239412.html,"2,615","['33.994900', '-118.399100']",33.994900,-118.399100
55,55,2022-05-25 12:06, (westside-southbay-310),"Clubhouse with billiards, Washer and dryer, CoverPark",1.0,1054.0,https://losangeles.craigslist.org/wst/apa/d/marina-del-rey-clubhouse-with-billiards/7488239079.html,"3,661","['33.987566', '-118.445907']",33.987566,-118.445907
56,56,2022-05-25 12:05, (westside-southbay-310),In Unit Washer/Dryer,1.0,687.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-in-unit-washer-dryer/7484557069.html,"2,295","['34.100500', '-118.325400']",34.100500,-118.325400
57,57,2022-05-25 12:04, (Los Angeles),Feel safe and secure in our gated community. Access gate for residents,2.0,923.0,https://losangeles.craigslist.org/wst/apa/d/playa-vista-feel-safe-and-secure-in-our/7488237967.html,"2,920","['33.986055', '-118.424604']",33.986055,-118.424604
58,58,2022-05-25 12:03," (4600 Vía Marina, Marina del Rey, CA)","Online rent payments, 24-hour package lockers, On-site café",,457.0,https://losangeles.craigslist.org/wst/apa/d/marina-del-rey-online-rent-payments-24/7483827117.html,"2,430","['33.977900', '-118.452500']",33.977900,-118.452500
59,59,2022-05-25 12:02, (Torrance),Getting Hot Out! We have a Cool Pool!,1.0,700.0,https://losangeles.craigslist.org/wst/apa/d/torrance-getting-hot-out-we-have-cool/7488236852.html,"1,995","['33.839700', '-118.354200']",33.839700,-118.354200
60,60,2022-05-25 12:02, (westside-southbay-310),"Wood Look Plank Flooring in the Living Spaces, Bike Racks, Recycling",1.0,669.0,https://losangeles.craigslist.org/wst/apa/d/inglewood-wood-look-plank-flooring-in/7488236785.html,"3,155","['33.937900', '-118.358600']",33.937900,-118.358600
61,61,2022-05-25 11:57, (Culver City),Culver City Home - 3br + Guest House,3.0,1500.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-culver-city-home-3br-guest/7477573675.html,"7,500","['34.031234', '-118.378286']",34.031234,-118.378286
62,62,2022-05-25 11:55, (Hawthorne),SPECIAL!! 1+1 Utilities Included With Pool,1.0,,https://losangeles.craigslist.org/wst/apa/d/hawthorne-special-11-utilities-included/7488233506.html,"1,700","['33.914300', '-118.349300']",33.914300,-118.349300
63,63,2022-05-25 11:53, (Hawthorne),SPECAIL$300 OFF! Your New Home Is Calling Your Name!!!! 1 bed 1 bath,1.0,,https://losangeles.craigslist.org/wst/apa/d/hawthorne-specail300-off-your-new-home/7488232334.html,"1,700","['33.915977', '-118.343807']",33.915977,-118.343807
64,64,2022-05-25 11:52, (West Los Angeles),Newly Renovated One Bedroom in West LA,1.0,500.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-newly-renovated-one-bedroom/7477663319.html,"2,100","['34.039417', '-118.456620']",34.039417,-118.456620
65,65,2022-05-25 11:51, (westside-southbay-310),Tour Today!,2.0,876.0,https://losangeles.craigslist.org/wst/apa/d/carson-tour-today/7488231200.html,"2,995","['33.823000', '-118.268400']",33.823000,-118.268400
66,66,2022-05-25 11:50, (westside-southbay-310),WARM UP WITH OUR HOT SPECIALS!,,470.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-warm-up-with-our-hot/7486549684.html,"2,313","['34.066000', '-118.474000']",34.066000,-118.474000
67,67,2022-05-25 11:50, (Beverly Grove),"K-126 Brand new 3 bed, 3 bath luxury unit",3.0,1817.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-126-brand-new-bed-bath/7488188250.html,"5,595","['34.074706', '-118.372111']",34.074706,-118.372111
68,68,2022-05-25 11:49," (233 South Barrington Avenue, Los Angeles, CA)","1st Floor unit, Plank flooring, Mirrored closets, Patio",1.0,800.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-1st-floor-unit-plank/7483815185.html,"3,149","['34.066000', '-118.474000']",34.066000,-118.474000
69,69,2022-05-25 11:49, (WEST LOS ANGELES AREA),1 BED 1 BATH LARGE UNIT-WALKABLE,1.0,850.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-bed-bath-large-unit-walkable/7488224298.html,"2,195","['34.046112', '-118.441770']",34.046112,-118.441770
70,70,2022-05-25 11:48, (Westwood),Renovated Unit / Pool & Jacuzzi on Roof,1.0,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-renovated-unit-pool-jacuzzi/7488220956.html,"2,300","['34.054372', '-118.444837']",34.054372,-118.444837
71,71,2022-05-25 11:48, (los angeles),lovely Studio 1 Bath,,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-lovely-studio-bath/7488229817.html,"1,250","['34.074788', '-118.270882']",34.074788,-118.270882
72,72,2022-05-25 11:45, (westside-southbay-310),"Availability 24 Hours, Recycling, Smoke-Free Community",1.0,669.0,https://losangeles.craigslist.org/wst/apa/d/inglewood-availability-24-hours/7479859166.html,"3,020","['33.937900', '-118.358600']",33.937900,-118.358600
73,73,2022-05-25 11:45, (Brentwood),"KS- Brand new, luxury 3 bedroom, 3 bathroom",3.0,1633.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-ks-brand-new-luxury-bedroom/7488228267.html,"5,695","['34.049299', '-118.464764']",34.049299,-118.464764
74,74,2022-05-25 11:45, (Brentwood),"KO- Renovated 2 bed, 3 bath +den in prime Brentwood",2.0,1250.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-ko-renovated-bed-bath-den/7488228189.html,"4,495","['34.066000', '-118.474000']",34.066000,-118.474000
75,75,2022-05-25 11:45, (Beverly Grove),"OT- Gorgeous 3 bed, 3 bath unit",3.0,1267.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-ot-gorgeous-bed-bath-unit/7488228122.html,"4,895","['34.074437', '-118.373211']",34.074437,-118.373211
76,76,2022-05-25 11:44, (Hancock Park),"CI- Brand new luxury 2 bed, 2 bath",2.0,1125.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-ci-brand-new-luxury-bed-bath/7488228065.html,"3,495","['34.091727', '-118.329061']",34.091727,-118.329061
77,77,2022-05-25 11:43, (Socal),Renovated 3bd 2bth property,3.0,1222.0,https://losangeles.craigslist.org/wst/apa/d/compton-renovated-3bd-2bth-property/7487084915.html,"1,799","['33.874800', '-118.240200']",33.874800,-118.240200
