,Unnamed: 0,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon,y,x
669,669,2022-05-18 13:42, (Downtown Long Beach),+DEN  *AMAZING VALUE!!  RESORT STYLE ROOFTOP POOL*SKY-LOUNGE & BBQ!!!,1.0,870.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-den-amazing-value-resort/7479485947.html,"2,797","['33.769916', '-118.189610']",33.769916,-118.189610
670,670,2022-05-18 13:42, (Long Beach),Wanna Move Before the Summer Heat?☀️🥵Check Out this 2BED Avail JUNE,2.0,950.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-wanna-move-before-the-summer/7485381992.html,"2,575","['33.841751', '-118.176061']",33.841751,-118.176061
671,671,2022-05-18 13:19, (long beach / 562),OPEN HOUSE TODAY brand new 2bd2b available in Cudahy!!,3.0,,https://losangeles.craigslist.org/lgb/apa/d/huntington-park-open-house-today-brand/7485371521.html,"2,395","['33.964278', '-118.192901']",33.964278,-118.192901
672,672,2022-05-18 13:16, (Cudahy),Open house today!! 3bd2ba apartment available in Cudahy!!!,3.0,,https://losangeles.craigslist.org/lgb/apa/d/huntington-park-open-house-today-3bd2ba/7485370515.html,"2,895","['33.964278', '-118.192901']",33.964278,-118.192901
673,673,2022-05-18 13:12, (Long Beach),🤠 YA'll Ready to make the🐮 Mmoove into this 2 Bdrm + 2 Bath!,2.0,980.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-yall-ready-to-make-the/7485368370.html,"2,655","['33.841751', '-118.176061']",33.841751,-118.176061
674,674,2022-05-18 13:08, (San Pedro),Perfect location!! Ocean views!! ~ Fantastic 1B/1B Apt for rent ~,1.0,510.0,https://losangeles.craigslist.org/lgb/apa/d/san-pedro-perfect-location-ocean-views/7485346354.html,"1,645","['33.733406', '-118.281404']",33.733406,-118.281404
675,675,2022-05-18 13:07, (long beach / 562),Huge floor plan with Central A/C & Heating!,2.0,1215.0,https://losangeles.craigslist.org/lgb/apa/d/downey-huge-floor-plan-with-central-c/7472883915.html,"2,929","['33.958100', '-118.117400']",33.958100,-118.117400
676,676,2022-05-18 13:03, (Pico Rivera),"24-Hour Maintenance, Community Herb Garden, TV and Gaming Lounge",1.0,758.0,https://losangeles.craigslist.org/lgb/apa/d/pico-rivera-24-hour-maintenance/7485364010.html,"2,730","['33.981213', '-118.085901']",33.981213,-118.085901
677,677,2022-05-18 13:01, (Long Beach),👀This 2 Bdrm 1.75 Bath w/AC Is Blocks from Trader Joes & Starbucks!,2.0,950.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-this-bdrm-175-bath-ac-is/7485362770.html,"2,575","['33.841751', '-118.176061']",33.841751,-118.176061
678,678,2022-05-18 12:59, (Bixby Knolls),"🦖Dinomite 2+1 w/AC and Parking,  Available in May!",2.0,900.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-dinomite-21-ac-and-parking/7485362066.html,"2,580","['33.841751', '-118.176061']",33.841751,-118.176061
679,679,2022-05-18 12:59, (Long Beach),Wonderful location for commuters! We're near public transit,,365.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-wonderful-location-for/7485362021.html,"1,725","['33.871149', '-118.185919']",33.871149,-118.185919
680,680,2022-05-18 12:58," (Norwalk near Downey, Whittier, La Mirada, Cerritos)",Enjoy all this large 2x2 has to offer! Available NOW!,2.0,1052.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-enjoy-all-this-large-2x2-has-to/7485358757.html,"3,397","['33.905600', '-118.081800']",33.905600,-118.081800
681,681,2022-05-18 12:58, (Long Beach),Stop by today at the Studio of your dreams! 365 Sq Ft!,,365.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-stop-by-today-at-the-studio/7485361408.html,"1,725","['33.871149', '-118.185919']",33.871149,-118.185919
682,682,2022-05-18 12:56, (long beach / 562),"Fantastic 1 Bedroom, Sparkling Pool and Spa, Downtown Long Beach",,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-fantastic-bedroom-sparkling/7485360422.html,"2,325","['33.770600', '-118.182000']",33.770600,-118.182000
683,683,2022-05-18 12:54, (LONG BEACH),"2 BED,1 BATH IN LONG BEACH",2.0,,https://losangeles.craigslist.org/lgb/apa/d/signal-hill-bed1-bath-in-long-beach/7485358121.html,"1,525","['33.795287', '-118.180275']",33.795287,-118.180275
684,684,2022-05-18 12:54, (Long Beach),Summer hot deal!! 1x1 with reserved parking near our sparkling pool!,1.0,509.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-summer-hot-deal-1x1-with/7485359758.html,"2,280","['33.793955', '-118.150589']",33.793955,-118.150589
685,685,2022-05-18 12:53, (Long Beach),"Alamitos Beach, 1920’s Art Deco Studio Apartment - # 9 Downstairs",,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-alamitos-beach-1920s-art/7479521351.html,"1,695","['33.764963', '-118.171552']",33.764963,-118.171552
686,686,2022-05-18 12:52, (Long Beach),"Charming Ocean Blvd. 1920’s Art Deco Apartment - 1 BD, 1 BA, Upstairs",1.0,685.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-charming-ocean-blvd-1920s/7485358380.html,"1,795","['33.764878', '-118.171520']",33.764878,-118.171520
687,687,2022-05-18 12:45, (Long Beach),"Charming Ocean Blvd. 1920’s Art Deco Apartment - 1 BD, 1 BA, Upstairs",1.0,685.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-charming-ocean-blvd-1920s/7485354013.html,"1,795","['33.764914', '-118.171563']",33.764914,-118.171563
688,688,2022-05-18 12:27, (Downey),Two Swimming Pools | Covered Parking | 2 Bedroom 1 BA in Downey,2.0,777.0,https://losangeles.craigslist.org/lgb/apa/d/downey-two-swimming-pools-covered/7485346079.html,"2,150","['33.966171', '-118.114576']",33.966171,-118.114576
689,689,2022-05-18 12:20, (Lakewood),Nice Quiet One Bedroom Apt,1.0,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-nice-quiet-one-bedroom-apt/7485342329.html,"1,895","['33.833913', '-118.160311']",33.833913,-118.160311
690,690,2022-05-18 12:07, (wilmington),Welcome to the heart of the harbor! 2 bedroom apartment,2.0,,https://losangeles.craigslist.org/lgb/apa/d/wilmington-welcome-to-the-heart-of-the/7485335592.html,"1,700","['33.775317', '-118.272537']",33.775317,-118.272537
691,691,2022-05-18 12:06, (LONG BEACH),LONG BEACH APARTAMENTO ESTUDIO DE RENTA,,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-long-beach-apartamento/7473259572.html,,"['33.782000', '-118.183500']",33.782000,-118.183500
692,692,2022-05-18 12:05, (BELLFLOWER),BELLFLOWER APARTAMENTO DE RENTA 2 RECAMARAS,2.0,,https://losangeles.craigslist.org/lgb/apa/d/bellflower-bellflower-apartamento-de/7473258771.html,,"['33.886700', '-118.126500']",33.886700,-118.126500
693,693,2022-05-18 11:53, (Long Beach),"Sun Deck, Outdoor Grilling Area, Hot Tub, Fitness Center",,467.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-sun-deck-outdoor-grilling/7485328319.html,"2,399","['33.774898', '-118.192601']",33.774898,-118.192601
694,694,2022-05-18 11:50," (Long Beach, Signal Hill, Lakewood Area)","NICE STUDIO💪On-Call Maintenance,💦Close to Pool, Laundry & Parking",,450.0,https://losangeles.craigslist.org/lgb/apa/d/lakewood-nice-studioon-call/7485326826.html,"1,805","['33.846556', '-118.166027']",33.846556,-118.166027
695,695,2022-05-18 11:28," (Long Beach, Signal Hill, Lakewood Area)",WON'T BELIEVE YOUR 👀's* STYLIN STUDIO w/Appliances & 🚗Parking,,450.0,https://losangeles.craigslist.org/lgb/apa/d/lakewood-wont-believe-your-stylin/7485315488.html,"1,805","['33.846699', '-118.165770']",33.846699,-118.165770
696,696,2022-05-18 11:13, (Long Beach),Open House This Friday! Move In Specials,1.0,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-open-house-this-friday-move/7485307482.html,"2,799","['33.785700', '-118.135700']",33.785700,-118.135700
697,697,2022-05-18 11:11, (Pico Rivera),"Walk-In/Mirrored Closets, Energy-Efficient Air Conditioning",1.0,581.0,https://losangeles.craigslist.org/lgb/apa/d/pico-rivera-walk-in-mirrored-closets/7485306466.html,"2,086","['33.981213', '-118.085901']",33.981213,-118.085901
698,698,2022-05-18 11:11, (City of Long Beach),Open House this Friday and Saturday!!! $1000 off for immediate move in,1.0,614.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-open-house-this-friday-and/7485306385.html,"2,799","['33.785700', '-118.135700']",33.785700,-118.135700
699,699,2022-05-18 11:03, (long beach / 562),1 Bedroom 1 BA in Long Beach |  Ceiling Fan(s) | CALL US TODAY,1.0,630.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-bedroom-ba-in-long-beach/7472946371.html,"1,605","['33.842316', '-118.175002']",33.842316,-118.175002
700,700,2022-05-18 10:58, (Belmont Heights),****BELMONT HEIGHTS HOUSE****,2.0,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-belmont-heights-house/7485299386.html,"3,100","['33.768160', '-118.147080']",33.768160,-118.147080
701,701,2022-05-18 10:52, (LONG BEACH),"2 BED, 1 BATH IN LONG BEACH",2.0,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-bed-bath-in-long-beach/7485296143.html,"1,550","['33.865258', '-118.168613']",33.865258,-118.168613
702,702,2022-05-18 10:49, (long beach / 562),"Picnic areas, Smart home package, Breakfast bar, Patio/ balcony",1.0,765.0,https://losangeles.craigslist.org/lgb/apa/d/la-mirada-picnic-areas-smart-home/7485294303.html,"2,102","['33.896403', '-117.987618']",33.896403,-117.987618
703,703,2022-05-18 10:46, (Long Beach),Immediate Move In Available! Call Us For Our Move In Special!,1.0,614.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-immediate-move-in-available/7485293154.html,"2,899","['33.787050', '-118.140532']",33.787050,-118.140532
704,704,2022-05-18 10:46, (Long Beach),"IMT Gallery 421 – Comfortable 1 bed, 1 bath, prime location!",1.0,720.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-imt-gallery-421-comfortable/7485292787.html,"2,720","['33.769417', '-118.197101']",33.769417,-118.197101
705,705,2022-05-18 10:43, (Redondo Beach),Sand & Surf are minutes away if you lived here!,1.0,650.0,https://losangeles.craigslist.org/lgb/apa/d/redondo-beach-sand-surf-are-minutes/7485291529.html,"2,775","['33.844172', '-118.388664']",33.844172,-118.388664
706,706,2022-05-18 10:38, (Artesia),Back house available for rent.,1.0,,https://losangeles.craigslist.org/lgb/apa/d/artesia-back-house-available-for-rent/7485288946.html,"1,500","['33.858515', '-118.077098']",33.858515,-118.077098
707,707,2022-05-18 10:34, (Long Beach),2 bed 2 bath fully remodeled,2.0,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-bed-bath-fully-remodeled/7482450384.html,"2,650","['33.787100', '-118.152400']",33.787100,-118.152400
708,708,2022-05-18 10:34," (404 Pine Ave Long Beach, CA)",Poolside 1 bedroom unit with HUGE walk-in closet!,1.0,742.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-poolside-bedroom-unit-with/7485286252.html,"3,029","['33.771900', '-118.192599']",33.771900,-118.192599
709,709,2022-05-18 10:32, (Long Beach),Available NOW! Apartment for rent!,1.0,,https://losangeles.craigslist.org/lgb/apa/d/compton-available-now-apartment-for-rent/7485285404.html,"1,595","['33.874216', '-118.198674']",33.874216,-118.198674
710,710,2022-05-18 10:32, (Downey),BBQ/Picnic Area ~ Two Swimming Pools ~ 1 Bedroom 1 BA in Downey,1.0,610.0,https://losangeles.craigslist.org/lgb/apa/d/downey-bbq-picnic-area-two-swimming/7480310788.html,"1,750","['33.966171', '-118.114576']",33.966171,-118.114576
711,711,2022-05-18 10:30, (Whittier),Cozy and Cute!! 2bd2ba with all appliances and washer & dryer,2.0,1015.0,https://losangeles.craigslist.org/lgb/apa/d/whittier-cozy-and-cute-2bd2ba-with-all/7485284178.html,"2,995","['33.940144', '-117.992797']",33.940144,-117.992797
712,712,2022-05-18 10:26," (600 N. Harbor Blvd La Habra, CA)","Location, Community, Quality Living. It Starts Here!",1.0,750.0,https://losangeles.craigslist.org/lgb/apa/d/la-habra-location-community-quality/7483805975.html,"2,150","['33.936479', '-117.932995']",33.936479,-117.932995
713,713,2022-05-18 10:23," (600 N. Harbor Blvd La Habra, CA)",Where Luxury Meets Convenience. 1 Bdrm Available!,1.0,750.0,https://losangeles.craigslist.org/lgb/apa/d/la-habra-where-luxury-meets-convenience/7484047883.html,"2,200","['33.936479', '-117.932995']",33.936479,-117.932995
714,714,2022-05-18 10:21, (Whittier),3 Bedroom/ 1.5 Bath Townhome with washer/dryer hook & attached garage!,3.0,1037.0,https://losangeles.craigslist.org/lgb/apa/d/whittier-bedroom-15-bath-townhome-with/7485279783.html,"3,090","['33.941300', '-118.035600']",33.941300,-118.035600
