,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon
25,2022-05-21 19:35, (Northridge),Northridge 1 Bedroom 1 BA | SS Appliances | Balcony | Pool | BBQ Area,1,850.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-northridge-bedroom-ba-ss/7483453286.html,"1,925","[None, None]"
26,2022-05-21 19:34, (Reseda),"Reseda 1+1, SS Appliances, Balcony, Plank Floors, Quartz Counters",1,825.0,https://losangeles.craigslist.org/sfv/apa/d/reseda-reseda-11-ss-appliances-balcony/7483161656.html,"1,950","[None, None]"
27,2022-05-21 19:34, (Reseda),"Reseda 1+1, Balcony, SS Appliances, Quartz Counters, Plank Floors",1,825.0,https://losangeles.craigslist.org/sfv/apa/d/reseda-reseda-11-balcony-ss-appliances/7482967028.html,"1,950","[None, None]"
28,2022-05-21 19:34, (Northridge),Northridge 1 Bedroom 1 BA - Plank Floors - Balcony - Fitness Center,1,625.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-northridge-bedroom-ba-plank/7480925225.html,"1,895","[None, None]"
29,2022-05-21 19:33, (san fernando valley),Centrally Located Studio,,575.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-centrally-located-studio/7479862365.html,"1,852","[None, None]"
30,2022-05-21 19:28, (Sherman Oaks),Storage Space * Large Closets * Updated 2+2 in Sherman Oaks,2,1100.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-storage-space-large/7481237138.html,"2,495","[None, None]"
31,2022-05-21 19:28, (Sherman Oaks),2 Bedroom in Sherman Oaks | Controlled Access | Pet-Friendly | Pool,2,1100.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-bedroom-in-sherman-oaks/7481237024.html,"2,495","[None, None]"
32,2022-05-21 19:28, (NoHo / North Hollywood),"❖ Renovated Studio @ Twin Palms w/ Plank Flooring, Modern Amenities ❖",,500.0,https://losangeles.craigslist.org/sfv/apa/d/toluca-lake-renovated-studio-twin-palms/7486750976.html,"1,775","[None, None]"
33,2022-05-21 19:27, (Sherman Oaks),2+2 in Sherman Oaks * Parking * Large Closets * Pool * Gym,2,1260.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-22-in-sherman-oaks-parking/7479248737.html,"2,595","[None, None]"
34,2022-05-21 19:27, (Sherman Oaks),Sherman Oaks 2 Bedroom 2 BA + Large Closets and Storage Space,2,1260.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-sherman-oaks-bedroom-ba/7476528304.html,"2,595","[None, None]"
